"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"73","","","","","","","","","","","","","","","","","","","873","873","873","0.4720365107059479","0.4720365107059479","0.4720365107059479","","","","","",""
"74","","","","","","","","","","","","","230","230","230","0.4983661472797394","0.4983661472797394","0.4983661472797394","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","887","887","887","0.4692758321762085","0.4692758321762085","0.4692758321762085","","","","","",""
"76","","","","","","","","","","","","","","","","","","","902","902","902","0.4666278660297394","0.4666278660297394","0.4666278660297394","","","","","",""
"78","","","","","","","258","258","258","0.4943096339702606","0.4943096339702606","0.4943096339702606","","","","","","","916","916","916","0.4638671875","0.4638671875","0.4638671875","","","","","",""
"79","","","","","","","","","","","","","","","","","","","946","946","946","0.46108773350715637","0.46108773350715637","0.46108773350715637","","","","","",""
"81","","","","","","","","","","","","","","","","","","","962","962","962","0.45843976736068726","0.45843976736068726","0.45843976736068726","265","265","265","0.4840181767940521","0.4840181767940521","0.4840181767940521"
"82","","","","","","","","","","","","","","","","","","","977","977","977","0.4556039571762085","0.4556039571762085","0.4556039571762085","","","","","",""
"84","","","","","","","","","","","","","261","261","261","0.4853515625","0.4853515625","0.4853515625","991","991","991","0.4527494013309479","0.4527494013309479","0.4527494013309479","","","","","",""
"85","","","","","","","","","","","","","","","","","","","1006","1006","1006","0.45004507899284363","0.45004507899284363","0.45004507899284363","","","","","",""
"86","","","","","","","289","289","289","0.48289138078689575","0.48289138078689575","0.48289138078689575","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","1020","1020","1020","0.4471341669559479","0.4471341669559479","0.4471341669559479","","","","","",""
"88","","","","","","","","","","","","","","","","","","","1035","1035","1035","0.4442983865737915","0.4442983865737915","0.4442983865737915","","","","","",""
"90","","","","","","","","","","","","","","","","","","","1066","1066","1066","0.44140625","0.44140625","0.44140625","296","296","296","0.47072190046310425","0.47072190046310425","0.47072190046310425"
"91","","","","","","","","","","","","","","","","","","","1081","1081","1081","0.4385516941547394","0.4385516941547394","0.4385516941547394","","","","","",""
"93","","","","","","","","","","","","","292","292","292","0.47299429774284363","0.47299429774284363","0.47299429774284363","1095","1095","1095","0.4355093240737915","0.4355093240737915","0.4355093240737915","","","","","",""
"94","","","","","","","320","320","320","0.47207406163215637","0.47207406163215637","0.47207406163215637","","","","","","","1110","1110","1110","0.43252328038215637","0.43252328038215637","0.43252328038215637","","","","","",""
"96","","","","","","","","","","","","","","","","","","","1124","1124","1124","0.4308330714702606","0.4308330714702606","0.4308330714702606","","","","","",""
"97","","","","","","","","","","","","","","","","","","","1139","1139","1139","0.4276216924190521","0.4276216924190521","0.4276216924190521","","","","","",""
"99","","","","","","","","","","","","","","","","","","","1167","1167","1167","0.42454177141189575","0.42454177141189575","0.42454177141189575","317","317","317","0.4584209620952606","0.4584209620952606","0.4584209620952606"
"100","","","","","","","","","","","","","","","","","","","1200","1200","1200","0.42108625173568726","0.42108625173568726","0.42108625173568726","","","","","",""
"102","","","","","","","351","351","351","0.46140700578689575","0.46140700578689575","0.46140700578689575","324","324","324","0.45952898263931274","0.45952898263931274","0.45952898263931274","1214","1214","1214","0.4176870584487915","0.4176870584487915","0.4176870584487915","","","","","",""
"103","","","","","","","","","","","","","","","","","","","1229","1229","1229","0.4141751825809479","0.4141751825809479","0.4141751825809479","","","","","",""
"105","","","","","","","","","","","","","","","","","","","1243","1243","1243","0.4105318486690521","0.4105318486690521","0.4105318486690521","","","","","",""
"106","","","","","","","","","","","","","","","","","","","1258","1258","1258","0.40703874826431274","0.40703874826431274","0.40703874826431274","","","","","",""
"108","","","","","","","","","","","","","","","","","","","1272","1272","1272","0.4032451808452606","0.4032451808452606","0.4032451808452606","342","342","342","0.44610124826431274","0.44610124826431274","0.44610124826431274"
"109","","","","","","","","","","","","","","","","","","","1302","1302","1302","0.39963942766189575","0.39963942766189575","0.39963942766189575","","","","","",""
"110","","","","","","","382","382","382","0.45070236921310425","0.45070236921310425","0.45070236921310425","","","","","","","","","","","","","","","","","",""
"111","","","","","","","","","","","","","355","355","355","0.4469463527202606","0.4469463527202606","0.4469463527202606","1318","1318","1318","0.39577072858810425","0.39577072858810425","0.39577072858810425","","","","","",""
"112","","","","","","","","","","","","","","","","","","","1333","1333","1333","0.3920522928237915","0.3920522928237915","0.3920522928237915","","","","","",""
"114","","","","","","","","","","","","","","","","","","","1347","1347","1347","0.3882962763309479","0.3882962763309479","0.3882962763309479","","","","","",""
"115","","","","","","","","","","","","","","","","","","","1362","1362","1362","0.3844839334487915","0.3844839334487915","0.3844839334487915","","","","","",""
"117","","","","","","","","","","","","","","","","","","","1376","1376","1376","0.3807279169559479","0.3807279169559479","0.3807279169559479","374","374","374","0.43130257725715637","0.43130257725715637","0.43130257725715637"
"118","","","","","","","396","396","396","0.4392465353012085","0.4392465353012085","0.4392465353012085","","","","","","","1391","1391","1391","0.37661507725715637","0.37661507725715637","0.37661507725715637","","","","","",""
"120","","","","","","","","","","","","","","","","","","","1422","1422","1422","0.3728402853012085","0.3728402853012085","0.3728402853012085","","","","","",""
"121","","","","","","","","","","","","","386","386","386","0.43186599016189575","0.43186599016189575","0.43186599016189575","1437","1437","1437","0.3692533075809479","0.3692533075809479","0.3692533075809479","","","","","",""
"123","","","","","","","","","","","","","","","","","","","1451","1451","1451","0.3653658330440521","0.3653658330440521","0.3653658330440521","","","","","",""
"124","","","","","","","","","","","","","","","","","","","1466","1466","1466","0.3611215353012085","0.3611215353012085","0.3611215353012085","","","","","",""
"125","","","","","","","427","427","427","0.4267578125","0.4267578125","0.4267578125","","","","","","","","","","","","","","","","","",""
"126","","","","","","","","","","","","","","","","","","","1480","1480","1480","0.3573467433452606","0.3573467433452606","0.3573467433452606","405","405","405","0.41644757986068726","0.41644757986068726","0.41644757986068726"
"127","","","","","","","","","","","","","","","","","","","1495","1495","1495","0.3534780740737915","0.3534780740737915","0.3534780740737915","","","","","",""
"129","","","","","","","","","","","","","","","","","","","1523","1523","1523","0.3497408330440521","0.3497408330440521","0.3497408330440521","","","","","",""
"130","","","","","","","","","","","","","417","417","417","0.4166729152202606","0.4166729152202606","0.4166729152202606","1556","1556","1556","0.34649187326431274","0.34649187326431274","0.34649187326431274","","","","","",""
"132","","","","","","","","","","","","","","","","","","","1570","1570","1570","0.34198468923568726","0.34198468923568726","0.34198468923568726","","","","","",""
"133","","","","","","","458","458","458","0.41494515538215637","0.41494515538215637","0.41494515538215637","","","","","","","1585","1585","1585","0.33832257986068726","0.33832257986068726","0.33832257986068726","","","","","",""
"135","","","","","","","","","","","","","","","","","","","1599","1599","1599","0.33490461111068726","0.33490461111068726","0.33490461111068726","437","437","437","0.39873796701431274","0.39873796701431274","0.39873796701431274"
"136","","","","","","","","","","","","","","","","","","","1614","1614","1614","0.33030349016189575","0.33030349016189575","0.33030349016189575","","","","","",""
"138","","","","","","","","","","","","","","","","","","","1628","1628","1628","0.3268291652202606","0.3268291652202606","0.3268291652202606","","","","","",""
"139","","","","","","","","","","","","","445","445","445","0.4003530740737915","0.4003530740737915","0.4003530740737915","1658","1658","1658","0.32284781336784363","0.32284781336784363","0.32284781336784363","","","","","",""
"141","","","","","","","489","489","489","0.4005596339702606","0.4005596339702606","0.4005596339702606","","","","","","","1674","1674","1674","0.3186786472797394","0.3186786472797394","0.3186786472797394","","","","","",""
"142","","","","","","","","","","","","","","","","","","","1689","1689","1689","0.31537336111068726","0.31537336111068726","0.31537336111068726","","","","","",""
"144","","","","","","","","","","","","","","","","","","","1703","1703","1703","0.3133638799190521","0.3133638799190521","0.3133638799190521","468","468","468","0.3818734884262085","0.3818734884262085","0.3818734884262085"
"145","","","","","","","","","","","","","","","","","","","1718","1718","1718","0.3090444803237915","0.3090444803237915","0.3090444803237915","","","","","",""
"147","","","","","","","","","","","","","","","","","","","1732","1732","1732","0.3052133321762085","0.3052133321762085","0.3052133321762085","","","","","",""
"148","","","","","","","","","","","","","","","","","","","1747","1747","1747","0.3016451299190521","0.3016451299190521","0.3016451299190521","","","","","",""
"149","","","","","","","513","513","513","0.38544172048568726","0.38544172048568726","0.38544172048568726","466","466","466","0.38104718923568726","0.38104718923568726","0.38104718923568726","","","","","","","","","","","",""
"150","","","","","","","","","","","","","","","","","","","1778","1778","1778","0.2986215353012085","0.2986215353012085","0.2986215353012085","","","","","",""
"151","","","","","","","","","","","","","","","","","","","1793","1793","1793","0.2935884892940521","0.2935884892940521","0.2935884892940521","","","","","",""
"153","","","","","","","","","","","","","","","","","","","1807","1807","1807","0.28973859548568726","0.28973859548568726","0.28973859548568726","500","500","500","0.3649526834487915","0.3649526834487915","0.3649526834487915"
"154","","","","","","","","","","","","","","","","","","","1822","1822","1822","0.2862173318862915","0.2862173318862915","0.2862173318862915","","","","","",""
"156","","","","","","","","","","","","","","","","","","","1836","1836","1836","0.2815035283565521","0.2815035283565521","0.2815035283565521","","","","","",""
