"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/acc_epoch","phase_reshape_10k_resumed - val/acc_epoch__MIN","phase_reshape_10k_resumed - val/acc_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/acc_epoch","phase_reshape_1M - val/acc_epoch__MIN","phase_reshape_1M - val/acc_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/acc_epoch","phase_reshape_10k - val/acc_epoch__MIN","phase_reshape_10k - val/acc_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/acc_epoch","phase_train500kids - val/acc_epoch__MIN","phase_train500kids - val/acc_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/acc_epoch","phase_train2402 - val/acc_epoch__MIN","phase_train2402 - val/acc_epoch__MAX"
"106","","","","","","","","","","","","","","","","","","","1258","1258","1258","0.8021586537361145","0.8021586537361145","0.8021586537361145","","","","","",""
"108","","","","","","","","","","","","","","","","","","","1272","1272","1272","0.804291307926178","0.804291307926178","0.804291307926178","342","342","342","0.7809143662452698","0.7809143662452698","0.7809143662452698"
"109","","","","","","","","","","","","","","","","","","","1302","1302","1302","0.8062959909439087","0.8062959909439087","0.8062959909439087","","","","","",""
"110","","","","","","","382","382","382","0.7789706587791443","0.7789706587791443","0.7789706587791443","","","","","","","","","","","","","","","","","",""
"111","","","","","","","","","","","","","355","355","355","0.7806711196899414","0.7806711196899414","0.7806711196899414","1318","1318","1318","0.808480978012085","0.808480978012085","0.808480978012085","","","","","",""
"112","","","","","","","","","","","","","","","","","","","1333","1333","1333","0.8105708360671997","0.8105708360671997","0.8105708360671997","","","","","",""
"114","","","","","","","","","","","","","","","","","","","1347","1347","1347","0.8127108812332153","0.8127108812332153","0.8127108812332153","","","","","",""
"115","","","","","","","","","","","","","","","","","","","1362","1362","1362","0.8148390650749207","0.8148390650749207","0.8148390650749207","","","","","",""
"117","","","","","","","","","","","","","","","","","","","1376","1376","1376","0.8169444799423218","0.8169444799423218","0.8169444799423218","374","374","374","0.7886984348297119","0.7886984348297119","0.7886984348297119"
"118","","","","","","","396","396","396","0.7846294641494751","0.7846294641494751","0.7846294641494751","","","","","","","1391","1391","1391","0.819347083568573","0.819347083568573","0.819347083568573","","","","","",""
"120","","","","","","","","","","","","","","","","","","","1422","1422","1422","0.8215434551239014","0.8215434551239014","0.8215434551239014","","","","","",""
"121","","","","","","","","","","","","","386","386","386","0.7885400056838989","0.7885400056838989","0.7885400056838989","1437","1437","1437","0.8234719038009644","0.8234719038009644","0.8234719038009644","","","","","",""
"123","","","","","","","","","","","","","","","","","","","1451","1451","1451","0.825654149055481","0.825654149055481","0.825654149055481","","","","","",""
"124","","","","","","","","","","","","","","","","","","","1466","1466","1466","0.8277916312217712","0.8277916312217712","0.8277916312217712","","","","","",""
"125","","","","","","","427","427","427","0.7914565205574036","0.7914565205574036","0.7914565205574036","","","","","","","","","","","","","","","","","",""
"126","","","","","","","","","","","","","","","","","","","1480","1480","1480","0.8299221396446228","0.8299221396446228","0.8299221396446228","405","405","405","0.7967522740364075","0.7967522740364075","0.7967522740364075"
"127","","","","","","","","","","","","","","","","","","","1495","1495","1495","0.832101583480835","0.832101583480835","0.832101583480835","","","","","",""
"129","","","","","","","","","","","","","","","","","","","1523","1523","1523","0.8341503739356995","0.8341503739356995","0.8341503739356995","","","","","",""
"130","","","","","","","","","","","","","417","417","417","0.7967568039894104","0.7967568039894104","0.7967568039894104","1556","1556","1556","0.8359879851341248","0.8359879851341248","0.8359879851341248","","","","","",""
"132","","","","","","","","","","","","","","","","","","","1570","1570","1570","0.8385619521141052","0.8385619521141052","0.8385619521141052","","","","","",""
"133","","","","","","","458","458","458","0.7978975772857666","0.7978975772857666","0.7978975772857666","","","","","","","1585","1585","1585","0.8407027125358582","0.8407027125358582","0.8407027125358582","","","","","",""
"135","","","","","","","","","","","","","","","","","","","1599","1599","1599","0.8426094055175781","0.8426094055175781","0.8426094055175781","437","437","437","0.8067347407341003","0.8067347407341003","0.8067347407341003"
"136","","","","","","","","","","","","","","","","","","","1614","1614","1614","0.8452001810073853","0.8452001810073853","0.8452001810073853","","","","","",""
"138","","","","","","","","","","","","","","","","","","","1628","1628","1628","0.8470883965492249","0.8470883965492249","0.8470883965492249","","","","","",""
"139","","","","","","","","","","","","","445","445","445","0.8058582544326782","0.8058582544326782","0.8058582544326782","1658","1658","1658","0.8493674397468567","0.8493674397468567","0.8493674397468567","","","","","",""
"141","","","","","","","489","489","489","0.805972695350647","0.805972695350647","0.805972695350647","","","","","","","1674","1674","1674","0.8515347242355347","0.8515347242355347","0.8515347242355347","","","","","",""
"142","","","","","","","","","","","","","","","","","","","1689","1689","1689","0.853533148765564","0.853533148765564","0.853533148765564","","","","","",""
"144","","","","","","","","","","","","","","","","","","","1703","1703","1703","0.8546383380889893","0.8546383380889893","0.8546383380889893","468","468","468","0.8161169290542603","0.8161169290542603","0.8161169290542603"
"145","","","","","","","","","","","","","","","","","","","1718","1718","1718","0.8571146726608276","0.8571146726608276","0.8571146726608276","","","","","",""
"147","","","","","","","","","","","","","","","","","","","1732","1732","1732","0.8593164086341858","0.8593164086341858","0.8593164086341858","","","","","",""
"148","","","","","","","","","","","","","","","","","","","1747","1747","1747","0.8611513376235962","0.8611513376235962","0.8611513376235962","","","","","",""
"149","","","","","","","513","513","513","0.814159631729126","0.814159631729126","0.814159631729126","466","466","466","0.816463053226471","0.816463053226471","0.816463053226471","","","","","","","","","","","",""
"150","","","","","","","","","","","","","","","","","","","1778","1778","1778","0.8627552390098572","0.8627552390098572","0.8627552390098572","","","","","",""
"151","","","","","","","","","","","","","","","","","","","1793","1793","1793","0.8657119274139404","0.8657119274139404","0.8657119274139404","","","","","",""
"153","","","","","","","","","","","","","","","","","","","1807","1807","1807","0.867894172668457","0.867894172668457","0.867894172668457","500","500","500","0.825614333152771","0.825614333152771","0.825614333152771"
"154","","","","","","","","","","","","","","","","","","","1822","1822","1822","0.8697521686553955","0.8697521686553955","0.8697521686553955","","","","","",""
"156","","","","","","","","","","","","","","","","","","","1836","1836","1836","0.8724215030670166","0.8724215030670166","0.8724215030670166","","","","","",""
"157","","","","","","","534","534","534","0.8226367235183716","0.8226367235183716","0.8226367235183716","","","","","","","1851","1851","1851","0.8741047978401184","0.8741047978401184","0.8741047978401184","","","","","",""
"158","","","","","","","","","","","","","493","493","493","0.8261441588401794","0.8261441588401794","0.8261441588401794","","","","","","","","","","","",""
"159","","","","","","","","","","","","","","","","","","","1879","1879","1879","0.876342236995697","0.876342236995697","0.876342236995697","","","","","",""
"160","","","","","","","","","","","","","","","","","","","1912","1912","1912","0.8785427808761597","0.8785427808761597","0.8785427808761597","","","","","",""
