ref	continent	sample	maf_bin	accuracy
REF	AFRICA	LP6005441-DNA_B02	[0.3, 0.51)	0.9545984638275625
REF	AFRICA	LP6005441-DNA_B11	[0.01, 0.03)	0.9516435459009931
REF	AFRICA	LP6005441-DNA_B11	[0.03, 0.06)	0.913309859913213
REF	AFRICA	LP6005441-DNA_B11	[0.06, 0.1)	0.901668101936019
REF	AFRICA	LP6005441-DNA_B11	[0.1, 0.18)	0.8767939904550232
REF	AFRICA	LP6005441-DNA_B11	[0.18, 0.3)	0.8587589989715461
REF	AFRICA	LP6005441-DNA_B11	[0.3, 0.51)	0.8260747174970846
REF	AFRICA	LP6005443-DNA_A01	[0.01, 0.03)	0.9853628227646938
REF	AFRICA	LP6005443-DNA_A01	[0.03, 0.06)	0.9824810759009809
REF	AFRICA	LP6005443-DNA_A01	[0.06, 0.1)	0.9756535791364995
REF	AFRICA	LP6005443-DNA_A01	[0.1, 0.18)	0.9627590840957255
REF	AFRICA	LP6005443-DNA_A01	[0.18, 0.3)	0.9549575286633909
REF	AFRICA	LP6005443-DNA_A01	[0.3, 0.51)	0.9449370651867937
REF	AFRICA	LP6005443-DNA_E02	[0.01, 0.03)	0.9823517463048594
REF	AFRICA	LP6005443-DNA_E02	[0.03, 0.06)	0.9763435302731747
REF	AFRICA	LP6005443-DNA_E02	[0.06, 0.1)	0.9685303904995801
REF	AFRICA	LP6005443-DNA_E02	[0.1, 0.18)	0.9555831222756327
REF	AFRICA	LP6005443-DNA_E02	[0.18, 0.3)	0.9469870110082658
REF	AFRICA	LP6005443-DNA_E02	[0.3, 0.51)	0.9360799453090441
REF	AFRICA	LP6005443-DNA_G02	[0.01, 0.03)	0.9660059026657586
REF	AFRICA	LP6005443-DNA_G02	[0.03, 0.06)	0.9421455567399941
REF	AFRICA	LP6005443-DNA_G02	[0.06, 0.1)	0.9309582283460381
REF	AFRICA	LP6005443-DNA_G02	[0.1, 0.18)	0.9179545493702727
REF	AFRICA	LP6005443-DNA_G02	[0.18, 0.3)	0.8964975431379271
REF	AFRICA	LP6005443-DNA_G02	[0.3, 0.51)	0.8735171110306833
REF	AFRICA	LP6005443-DNA_G08	[0.01, 0.03)	0.9536509302075492
REF	AFRICA	LP6005443-DNA_G08	[0.03, 0.06)	0.9200611601037999
REF	AFRICA	LP6005443-DNA_G08	[0.06, 0.1)	0.9017318916850061
REF	AFRICA	LP6005443-DNA_G08	[0.1, 0.18)	0.8781637118588583
REF	AFRICA	LP6005443-DNA_G08	[0.18, 0.3)	0.8564449777168324
REF	AFRICA	LP6005443-DNA_G08	[0.3, 0.51)	0.8218120400530825
REF	AFRICA	LP6005592-DNA_C03	[0.01, 0.03)	0.9667706204968276
REF	AFRICA	LP6005592-DNA_C03	[0.03, 0.06)	0.9498982459540655
REF	AFRICA	LP6005592-DNA_C03	[0.06, 0.1)	0.9299269607374094
REF	AFRICA	LP6005592-DNA_C03	[0.1, 0.18)	0.9093054909460554
REF	AFRICA	LP6005592-DNA_C03	[0.18, 0.3)	0.9013350855140365
REF	AFRICA	LP6005592-DNA_C03	[0.3, 0.51)	0.8737885551132023
REF	AFRICA	SS6004473	[0.01, 0.03)	0.9442592393447325
REF	AFRICA	SS6004473	[0.03, 0.06)	0.9102626223471266
REF	AFRICA	SS6004473	[0.06, 0.1)	0.900381675331441
REF	AFRICA	SS6004473	[0.1, 0.18)	0.8651384366223875
REF	AFRICA	SS6004473	[0.18, 0.3)	0.8452462575705634
REF	AFRICA	SS6004473	[0.3, 0.51)	0.8181324647122693
REF	AMERICA	HGDP00703	[0.01, 0.03)	0.9913252321038105
REF	AMERICA	HGDP00703	[0.03, 0.06)	0.9909982664125506
REF	AMERICA	HGDP00703	[0.06, 0.1)	0.9880500536897053
REF	AMERICA	HGDP00703	[0.1, 0.18)	0.9798590651436054
REF	AMERICA	HGDP00703	[0.18, 0.3)	0.9716508589494534
REF	AMERICA	HGDP00703	[0.3, 0.51)	0.9477319338882856
REF	AMERICA	HGDP00704	[0.01, 0.03)	0.9915044628454672
REF	AMERICA	HGDP00704	[0.03, 0.06)	0.9901260888759675
REF	AMERICA	HGDP00704	[0.06, 0.1)	0.9850944619866255
REF	AMERICA	HGDP00704	[0.1, 0.18)	0.9838734687548458
REF	AMERICA	HGDP00704	[0.18, 0.3)	0.9718413133737097
REF	AMERICA	HGDP00704	[0.3, 0.51)	0.9599569710861784
REF	AMERICA	HGDP00708	[0.01, 0.03)	0.9924245139859722
REF	AMERICA	HGDP00708	[0.03, 0.06)	0.9902014622433266
REF	AMERICA	HGDP00708	[0.06, 0.1)	0.9844778277464145
REF	AMERICA	HGDP00708	[0.1, 0.18)	0.9799452111438467
REF	AMERICA	HGDP00708	[0.18, 0.3)	0.9706224050584695
REF	AMERICA	HGDP00708	[0.3, 0.51)	0.9571721558692242
REF	AMERICA	HGDP00832	[0.01, 0.03)	0.9917314884515659
REF	AMERICA	HGDP00832	[0.03, 0.06)	0.9937440105092009
REF	AMERICA	HGDP00832	[0.06, 0.1)	0.9912820676383972
REF	AMERICA	HGDP00832	[0.1, 0.18)	0.9872934649644216
REF	AMERICA	HGDP00832	[0.18, 0.3)	0.9773930598407801
REF	AMERICA	HGDP00832	[0.3, 0.51)	0.9703723810672779
REF	AMERICA	HGDP00837	[0.01, 0.03)	0.9900825656283233
REF	AMERICA	HGDP00837	[0.03, 0.06)	0.9867988930882622
REF	AMERICA	HGDP00837	[0.06, 0.1)	0.9857536227261612
REF	AMERICA	HGDP00837	[0.1, 0.18)	0.9794714081425199
REF	AMERICA	HGDP00837	[0.18, 0.3)	0.9775644688226107
REF	AMERICA	HGDP00837	[0.3, 0.51)	0.9701109904692967
REF	AMERICA	HGDP00849	[0.01, 0.03)	0.9911221039299326
REF	AMERICA	HGDP00849	[0.03, 0.06)	0.990083018380334
REF	AMERICA	HGDP00849	[0.06, 0.1)	0.9846904602430391
REF	AMERICA	HGDP00849	[0.1, 0.18)	0.9811512551472236
REF	AMERICA	HGDP00849	[0.18, 0.3)	0.9765645830952653
REF	AMERICA	HGDP00849	[0.3, 0.51)	0.9636063859733783
REF	AMERICA	HGDP00854	[0.01, 0.03)	0.9891266683394869
REF	AMERICA	HGDP00854	[0.03, 0.06)	0.99038451184977
REF	AMERICA	HGDP00854	[0.06, 0.1)	0.9865935210878278
REF	AMERICA	HGDP00854	[0.1, 0.18)	0.9839251563549904
REF	AMERICA	HGDP00854	[0.18, 0.3)	0.9719174951434122
REF	AMERICA	HGDP00854	[0.3, 0.51)	0.9662403989222663
REF	AMERICA	HGDP00856	[0.01, 0.03)	0.9920182576382168
REF	AMERICA	HGDP00856	[0.03, 0.06)	0.9882955928115342
REF	AMERICA	HGDP00856	[0.06, 0.1)	0.9845628807450643
REF	AMERICA	HGDP00856	[0.1, 0.18)	0.9806257645457522
REF	AMERICA	HGDP00856	[0.18, 0.3)	0.9749933340951511
REF	AMERICA	HGDP00856	[0.3, 0.51)	0.9528290505489202
REF	AMERICA	HGDP00873	[0.01, 0.03)	0.9924006165537512
REF	AMERICA	HGDP00873	[0.03, 0.06)	0.9893723552023777
REF	AMERICA	HGDP00873	[0.06, 0.1)	0.9831276113928493
REF	AMERICA	HGDP00873	[0.1, 0.18)	0.9808669733464276
REF	AMERICA	HGDP00873	[0.18, 0.3)	0.9702510189311698
REF	AMERICA	HGDP00873	[0.3, 0.51)	0.960821570756424
REF	AMERICA	HGDP00876	[0.01, 0.03)	0.9881110274700985
REF	AMERICA	HGDP00876	[0.03, 0.06)	0.9866373787296356
REF	AMERICA	HGDP00876	[0.06, 0.1)	0.9874759459488192
REF	AMERICA	HGDP00876	[0.1, 0.18)	0.9824176013507694
REF	AMERICA	HGDP00876	[0.18, 0.3)	0.9687559517007579
REF	AMERICA	HGDP00876	[0.3, 0.51)	0.9589918365705553
REF	AMERICA	HGDP00995	[0.01, 0.03)	0.9903693348149741
REF	AMERICA	HGDP00995	[0.03, 0.06)	0.9873049714119584
REF	AMERICA	HGDP00995	[0.06, 0.1)	0.9845628807450643
REF	AMERICA	HGDP00995	[0.1, 0.18)	0.9803931703451008
REF	AMERICA	HGDP00995	[0.18, 0.3)	0.9716508589494534
REF	AMERICA	HGDP00995	[0.3, 0.51)	0.9556641331885631
REF	AMERICA	HGDP00999	[0.01, 0.03)	0.9887562581400628
