ref	continent	sample	maf_bin	accuracy
noREF	AFRICA	LP6005443-DNA_E02	[0.03, 0.06)	0.9655328358691087
noREF	AFRICA	LP6005443-DNA_E02	[0.06, 0.1)	0.9556235979544753
noREF	AFRICA	LP6005443-DNA_E02	[0.1, 0.18)	0.9431608690408504
noREF	AFRICA	LP6005443-DNA_E02	[0.18, 0.3)	0.9349217232316307
noREF	AFRICA	LP6005443-DNA_E02	[0.3, 0.51)	0.9062713636546427
noREF	AFRICA	LP6005443-DNA_G02	[0.01, 0.03)	0.9632099030959124
noREF	AFRICA	LP6005443-DNA_G02	[0.03, 0.06)	0.9355234680363085
noREF	AFRICA	LP6005443-DNA_G02	[0.06, 0.1)	0.9191358615337182
noREF	AFRICA	LP6005443-DNA_G02	[0.1, 0.18)	0.9108905773504935
noREF	AFRICA	LP6005443-DNA_G02	[0.18, 0.3)	0.8894221612768065
noREF	AFRICA	LP6005443-DNA_G02	[0.3, 0.51)	0.8595930349459123
noREF	AFRICA	LP6005443-DNA_G08	[0.01, 0.03)	0.9545948787802749
noREF	AFRICA	LP6005443-DNA_G08	[0.03, 0.06)	0.9178322619547544
noREF	AFRICA	LP6005443-DNA_G08	[0.06, 0.1)	0.9008919933233397
noREF	AFRICA	LP6005443-DNA_G08	[0.1, 0.18)	0.8765872400544442
noREF	AFRICA	LP6005443-DNA_G08	[0.18, 0.3)	0.854111911019693
noREF	AFRICA	LP6005443-DNA_G08	[0.3, 0.51)	0.8225761048779507
noREF	AFRICA	LP6005592-DNA_C03	[0.01, 0.03)	0.9653367745635733
noREF	AFRICA	LP6005592-DNA_C03	[0.03, 0.06)	0.9462695566969237
noREF	AFRICA	LP6005592-DNA_C03	[0.06, 0.1)	0.9232077738440765
noREF	AFRICA	LP6005592-DNA_C03	[0.1, 0.18)	0.9039472097310521
noREF	AFRICA	LP6005592-DNA_C03	[0.18, 0.3)	0.8935645450043803
noREF	AFRICA	LP6005592-DNA_C03	[0.3, 0.51)	0.8651023444725943
noREF	AFRICA	SS6004473	[0.01, 0.03)	0.9407702142404799
noREF	AFRICA	SS6004473	[0.03, 0.06)	0.9103918338340278
noREF	AFRICA	SS6004473	[0.06, 0.1)	0.8985955623597955
noREF	AFRICA	SS6004473	[0.1, 0.18)	0.8602367292086629
noREF	AFRICA	SS6004473	[0.18, 0.3)	0.8426941682855292
noREF	AFRICA	SS6004473	[0.3, 0.51)	0.8144729963405317
noREF	AMERICA	HGDP00703	[0.01, 0.03)	0.9910026167688282
noREF	AMERICA	HGDP00703	[0.03, 0.06)	0.9903629766019532
noREF	AMERICA	HGDP00703	[0.06, 0.1)	0.9883583708098109
noREF	AMERICA	HGDP00703	[0.1, 0.18)	0.9797987629434366
noREF	AMERICA	HGDP00703	[0.18, 0.3)	0.9687940425856093
noREF	AMERICA	HGDP00703	[0.3, 0.51)	0.9455804881972091
noREF	AMERICA	HGDP00704	[0.01, 0.03)	0.9909428731882759
noREF	AMERICA	HGDP00704	[0.03, 0.06)	0.9895446371849125
noREF	AMERICA	HGDP00704	[0.06, 0.1)	0.9835635080109293
noREF	AMERICA	HGDP00704	[0.1, 0.18)	0.9827794145517823
noREF	AMERICA	HGDP00704	[0.18, 0.3)	0.9711556774463871
noREF	AMERICA	HGDP00704	[0.3, 0.51)	0.9607411428801222
noREF	AMERICA	HGDP00708	[0.01, 0.03)	0.9925798472954082
noREF	AMERICA	HGDP00708	[0.03, 0.06)	0.9894154256980112
noREF	AMERICA	HGDP00708	[0.06, 0.1)	0.9835103498867732
noREF	AMERICA	HGDP00708	[0.1, 0.18)	0.9796609293430506
noREF	AMERICA	HGDP00708	[0.18, 0.3)	0.9707176322705977
noREF	AMERICA	HGDP00708	[0.3, 0.51)	0.9549905497245343
noREF	AMERICA	HGDP00832	[0.01, 0.03)	0.9919585140576646
noREF	AMERICA	HGDP00832	[0.03, 0.06)	0.9937978486287431
noREF	AMERICA	HGDP00832	[0.06, 0.1)	0.9918880702537769
noREF	AMERICA	HGDP00832	[0.1, 0.18)	0.9871039437638911
noREF	AMERICA	HGDP00832	[0.18, 0.3)	0.9776977869195902
noREF	AMERICA	HGDP00832	[0.3, 0.51)	0.9673864961595687
noREF	AMERICA	HGDP00837	[0.01, 0.03)	0.9903334886666428
noREF	AMERICA	HGDP00837	[0.03, 0.06)	0.98674505496872
noREF	AMERICA	HGDP00837	[0.06, 0.1)	0.9858705705993047
noREF	AMERICA	HGDP00837	[0.1, 0.18)	0.979480022742544
noREF	AMERICA	HGDP00837	[0.18, 0.3)	0.9771930826953109
noREF	AMERICA	HGDP00837	[0.3, 0.51)	0.9675272449430972
noREF	AMERICA	HGDP00849	[0.01, 0.03)	0.9914686166971358
noREF	AMERICA	HGDP00849	[0.03, 0.06)	0.9900722507564256
noREF	AMERICA	HGDP00849	[0.06, 0.1)	0.9843821431229335
