ref	sample	acc	continent
SNPBag base	70	97.49276906682904	EAS
SNPBag base	71	97.36489572233216	EAS
SNPBag base	72	97.58562947176132	CSA
SNPBag base	73	96.7711980514538	CSA
SNPBag base	74	97.22179936063328	CSA
SNPBag base	75	97.28421373116151	CSA
SNPBag base	76	97.38773024813518	EAS
SNPBag base	77	97.29639214492312	EAS
SNPBag base	78	97.24158928299588	EAS
SNPBag base	79	97.67544527325316	EAS
SNPBag base	8	94.97183741817628	AFR
SNPBag base	80	97.35576191201096	EAS
SNPBag base	81	97.32988278276754	EAS
SNPBag base	82	97.22027705891308	EAS
SNPBag base	83	97.49124676510884	EAS
SNPBag base	84	97.20962094687168	CSA
SNPBag base	85	96.98279799056174	CSA
SNPBag base	86	97.36641802405236	CSA
SNPBag base	87	97.45623382554425	CSA
SNPBag base	88	97.7561272644238	AMR
SNPBag base	89	97.70589130765718	AMR
SNPBag base	9	95.3204445121023	AFR
SNPBag base	90	97.87791140203989	AMR
SNPBag base	91	97.8977013244025	AMR
SNPBag base	92	97.30248135180392	EAS
SNPBag base	93	97.19744253311006	EAS
SNPBag base	94	97.70893591109758	EAS
SNPBag base	95	97.46841223930583	EAS
SNPBag base	96	97.7363373420612	CSA
SNPBag base	97	97.01476632668596	CSA
SNPBag base	98	97.16699649870606	CSA
SNPBag base	99	96.9386512406759	CSA
REF	HGDP00001	97.06639061001415	CSA
REF	HGDP00021	96.59986839946345	CSA
REF	HGDP00023	97.01124694045667	CSA
REF	HGDP00039	97.41856582479537	CSA
REF	HGDP00052	96.8087715648116	CSA
REF	HGDP00068	97.69191603953429	CSA
REF	HGDP00086	97.01970455848696	CSA
REF	HGDP00092	97.39437703722875	CSA
REF	HGDP00099	97.52445520253458	CSA
REF	HGDP00100	97.27918427965622	CSA
REF	HGDP00105	96.88455182236297	CSA
REF	HGDP00118	97.31284559941676	CSA
REF	HGDP00131	97.32350219813492	CSA
REF	HGDP00141	96.91905890392654	CSA
REF	HGDP00143	97.2259012860654	CSA
REF	HGDP00151	97.93667950533083	CSA
REF	HGDP00163	97.39792923680146	CSA
REF	HGDP00179	97.73555734857058	CSA
REF	HGDP00197	97.35682521317426	CSA
REF	HGDP00201	97.20746367875937	CSA
REF	HGDP00213	97.76346748807052	CSA
REF	HGDP00214	97.02274930097786	CSA
REF	HGDP00239	97.25262735904111	CSA
REF	HGDP00248	97.0562414683778	CSA
REF	HGDP00274	97.27681614660773	CSA
REF	HGDP00277	97.41738175827112	CSA
REF	HGDP00302	97.49163964457706	CSA
REF	HGDP00313	97.17295659719579	CSA
REF	HGDP00341	97.17261829247458	CSA
REF	HGDP00376	97.85802365764916	CSA
REF	HGDP00417	97.38693433336209	CSA
REF	HGDP00433	97.08567397912321	CSA
REF	HGDP00452	92.48709790369479	AFR
REF	HGDP00453	92.67993159478537	AFR
REF	HGDP00462	91.67905707708104	AFR
REF	HGDP00463	91.11577971626383	AFR
REF	HGDP00491	95.89653288406467	OC
REF	HGDP00519	97.76871121124931	EUR
REF	HGDP00520	97.89608293878545	EUR
REF	HGDP00525	97.56708159740724	EUR
REF	HGDP00537	97.63169779915864	EUR
REF	HGDP00540	95.40057816276855	OC
REF	HGDP00541	94.95215525480266	OC
REF	HGDP00543	95.74903202561643	OC
REF	HGDP00546	95.75258422518915	OC
REF	HGDP00550	95.1674862098538	OC
REF	HGDP00553	95.69439581314077	OC
REF	HGDP00555	94.91358851658454	OC
REF	HGDP00575	97.17363320663821	ME
REF	HGDP00576	97.07586314220808	ME
REF	HGDP00579	97.2348663611775	ME
REF	HGDP00588	97.20458808862907	ME
REF	HGDP00636	96.32668733708513	ME
REF	HGDP00637	96.65805681151183	ME
REF	HGDP00651	97.63609576053437	ME
REF	HGDP00664	95.62690402125907	OC
REF	HGDP00666	97.38659602864088	EUR
REF	HGDP00703	97.76718884000385	AMR
REF	HGDP00704	97.99689774570649	AMR
REF	HGDP00708	97.85565552460066	AMR
REF	HGDP00711	97.20340402210483	EAS
REF	HGDP00712	96.92565584599016	EAS
REF	HGDP00719	97.15891695126551	EAS
REF	HGDP00724	96.67531035229362	ME
REF	HGDP00726	96.80403529871461	ME
REF	HGDP00741	96.67886255186635	ME
REF	HGDP00756	97.23249822812903	EAS
REF	HGDP00757	97.21338401138057	EAS
REF	HGDP00761	97.21896603928056	EAS
REF	HGDP00772	97.5542260180012	EAS
REF	HGDP00794	98.23912392609395	EUR
REF	HGDP00806	98.14203047110624	EUR
REF	HGDP00808	97.93904763837932	EUR
REF	HGDP00820	96.96337682240525	EAS
REF	HGDP00822	97.40012821748934	EAS
REF	HGDP00832	98.49640466657532	AMR
REF	HGDP00837	98.12105557839112	AMR
REF	HGDP00849	98.07623020283059	AMR
REF	HGDP00854	98.09923492387298	AMR
REF	HGDP00856	97.8392477456219	AMR
REF	HGDP00873	97.89371480573696	AMR
REF	HGDP00876	97.83231249883708	AMR
REF	HGDP00879	97.24230906504415	EUR
REF	HGDP00888	97.56369855019513	EUR
REF	HGDP00896	97.93042086798842	EUR
REF	HGDP00904	96.86273116784481	AFR
REF	HGDP00905	96.35933374268205	AFR
REF	HGDP00920	97.19934436545029	AFR
REF	HGDP00924	97.54661416177393	AFR
REF	HGDP00933	97.55794736993452	AFR
REF	HGDP00940	97.11341496626257	AFR
REF	HGDP00945	97.38828755224694	EAS
REF	HGDP00957	97.17786201565336	EAS
REF	HGDP00958	97.43040649003777	EAS
REF	HGDP00964	97.08854956925352	EAS
REF	HGDP00976	97.37813841061059	EAS
REF	HGDP00984	91.17396812831221	AFR
REF	HGDP00992	88.22581163531429	AFR
REF	HGDP00993	94.82495267962712	AFR
REF	HGDP00994	96.01426292704627	AFR
REF	HGDP00995	97.78410407606444	AMR
REF	HGDP00999	98.100080685676	AMR
REF	HGDP01014	97.84939688725825	AMR
REF	HGDP01037	97.75145767046753	AMR
REF	HGDP01057	97.78968610396441	AMR
REF	HGDP01062	97.27766190841075	EUR
REF	HGDP01071	97.34430793848944	EUR
REF	HGDP01086	92.12511185199845	AFR
REF	HGDP01094	92.07487360089854	AFR
REF	HGDP01096	97.23892601783204	EAS
REF	HGDP01099	97.23351314229265	EAS
REF	HGDP01103	97.28882596421074	EAS
REF	HGDP01149	97.63592660817378	EUR
REF	HGDP01161	97.37526282048029	EUR
REF	HGDP01162	97.5691114257345	EUR
REF	HGDP01169	97.61427510601624	EUR
REF	HGDP01171	97.76465155459476	EUR
REF	HGDP01180	97.53545010597395	EAS
