Population,UMAP1,UMAP2,SP,Color
Southern Han Chinese,-2.382056,13.755199,EAS,#1CA71C
Southern Han Chinese,-2.3589487,13.755521,EAS,#1CA71C
Southern Han Chinese,-3.2651546,14.927742,EAS,#1CA71C
Southern Han Chinese,-2.8991315,16.09312,EAS,#1CA71C
Southern Han Chinese,-2.8786995,16.105598,EAS,#1CA71C
Southern Han Chinese,-2.9237297,16.062853,EAS,#1CA71C
Southern Han Chinese,-3.5187252,14.970832,EAS,#1CA71C
Southern Han Chinese,-2.8991523,16.087944,EAS,#1CA71C
Southern Han Chinese,-2.8934689,16.097996,EAS,#1CA71C
Southern Han Chinese,-3.4712164,14.977622,EAS,#1CA71C
Southern Han Chinese,-2.9019709,16.085094,EAS,#1CA71C
Southern Han Chinese,-2.8597193,13.555295,EAS,#1CA71C
Southern Han Chinese,-4.1183033,14.225734,EAS,#1CA71C
Southern Han Chinese,-2.942603,13.6827345,EAS,#1CA71C
Southern Han Chinese,-3.3479953,14.751139,EAS,#1CA71C
Southern Han Chinese,-3.898389,14.585508,EAS,#1CA71C
Southern Han Chinese,-3.3414521,14.811808,EAS,#1CA71C
Southern Han Chinese,-3.1192722,13.611342,EAS,#1CA71C
Southern Han Chinese,-3.6605756,14.301529,EAS,#1CA71C
Southern Han Chinese,-3.57269,14.063643,EAS,#1CA71C
Southern Han Chinese,-3.1561785,14.230399,EAS,#1CA71C
Southern Han Chinese,-2.8150256,14.137291,EAS,#1CA71C
Southern Han Chinese,-3.0399973,14.245233,EAS,#1CA71C
Southern Han Chinese,-4.165767,14.255912,EAS,#1CA71C
Southern Han Chinese,-4.24417,14.247584,EAS,#1CA71C
Southern Han Chinese,-4.291695,14.229513,EAS,#1CA71C
Southern Han Chinese,-4.2250495,12.913145,EAS,#1CA71C
Southern Han Chinese,-4.1604915,13.650793,EAS,#1CA71C
Southern Han Chinese,-4.338595,13.16099,EAS,#1CA71C
Southern Han Chinese,-4.3683496,13.692898,EAS,#1CA71C
Southern Han Chinese,-4.2849126,13.695083,EAS,#1CA71C
Southern Han Chinese,-4.3131337,13.69814,EAS,#1CA71C
Southern Han Chinese,-3.5273402,13.345156,EAS,#1CA71C
Southern Han Chinese,-2.912732,12.187678,EAS,#1CA71C
Southern Han Chinese,-2.942046,12.214366,EAS,#1CA71C
Southern Han Chinese,-3.481381,12.981562,EAS,#1CA71C
Southern Han Chinese,-2.9037902,12.17943,EAS,#1CA71C
Southern Han Chinese,-2.921795,12.196403,EAS,#1CA71C
Southern Han Chinese,-3.5208232,13.760974,EAS,#1CA71C
Southern Han Chinese,-3.5140646,13.386461,EAS,#1CA71C
Southern Han Chinese,-3.494033,13.348353,EAS,#1CA71C
Southern Han Chinese,-2.5958042,14.314762,EAS,#1CA71C
Southern Han Chinese,-2.6263912,14.48743,EAS,#1CA71C
Southern Han Chinese,-2.7041404,14.455884,EAS,#1CA71C
Southern Han Chinese,-4.399799,12.775059,EAS,#1CA71C
Southern Han Chinese,-4.5345416,13.223504,EAS,#1CA71C
Southern Han Chinese,-4.5307975,12.907395,EAS,#1CA71C
Southern Han Chinese,-3.5377808,13.586998,EAS,#1CA71C
Southern Han Chinese,-3.317042,13.432832,EAS,#1CA71C
Southern Han Chinese,-3.5015063,13.466222,EAS,#1CA71C
Southern Han Chinese,-3.5945396,14.174799,EAS,#1CA71C
Southern Han Chinese,-4.358602,13.698245,EAS,#1CA71C
Southern Han Chinese,-3.3598013,12.934975,EAS,#1CA71C
Southern Han Chinese,-3.2553551,13.4715185,EAS,#1CA71C
Southern Han Chinese,-3.3702626,12.962119,EAS,#1CA71C
Southern Han Chinese,-3.122075,14.163472,EAS,#1CA71C
